,cluster 0,z-score 0,cluster 1,z-score 1,cluster 2,z-score 2,cluster 3,z-score 3,cluster 4,z-score 4,cluster 5,z-score 5,cluster 6,z-score 6,cluster 7,z-score 7
12,value_H4K5ac,5.041853841123819,value_MYB,0.0,value_CSDC2,0.07998431786268788,value_macroH2A1,0.002210908263718472,value_AFF4,0.19051327733698112,value_SMARCA4,0.15952982447585734,value_RB1,0.0,value_FOXC1,0.0410902989159435
13,value_H3K4me1,5.030518111501969,value_PARK7,0.0,value_JMJD6,0.07373508645877695,value_ATF4,0.002057309575083972,value_E2F1,0.13157024200385498,value_HIF1A,0.04925827868931395,value_LRIF1,0.0,value_MECP2,0.04055559526060703
14,value_H4K8ac,4.938138598695425,value_STAG3,0.0,value_SNAI2,0.07365258904185429,value_ETS1,0.0011136253540694066,value_RBBP4,0.12806522902419307,value_POU3F2,0.0445755537600374,value_LMO1,0.0,value_H3K36me2,0.03535254378248633
15,value_WDR5,4.8591173427663366,value_H4R3me2,0.0,value_H3K27me1,0.06929459290448245,value_H3K36me1,0.0,value_H3K79suc,0.11307029731357619,value_AFF4,0.042433942163090925,value_STAG3,0.0,value_MEIS1,0.028145458442088902
16,value_H4K5K8ac,4.455266413699729,value_H3K36me1,0.0,value_OSR1,0.04309276487107278,value_EZH1,0.0,value_H3K27me3,0.1048233068826732,value_RNF2,0.036025959258961085,value_ZNF117,0.0,value_H3.3,0.02600075912552095
17,value_INTS13,4.025100779740405,value_FOXP1,0.0,value_macroH2A1,0.018529000807051693,value_CDK9,0.0,value_HOXC9,0.09278653457979034,value_H3R8me2,0.029238393502193257,value_EZH1,0.0,value_BRD3,0.01924627995610869
18,value_H3K122ac,3.906985619760645,value_EZH1,0.0,value_H3S10ph,0.016480416908373697,value_ERG,0.0,value_MEIS1,0.08407964996268671,value_ZNF70,0.02500463876333188,value_H3K36me1,0.0,value_H4K20me1,0.016561839784743383
19,value_YY1,3.70613853029004,value_ZNF117,0.0,value_TSHZ2,0.01631376100149062,value_H4R3me2,0.0,value_BRD4,0.08407096818049296,value_MCM3,0.019355604770749647,value_ERG,0.0,value_macroH2A1,0.015491812239214444
20,value_ZBTB33,3.696831691763543,value_SMCHD1,-0.001052031864802739,value_BRD3,0.014870772119520507,value_LMO1,0.0,value_RNA-DNA_hybrids,0.0807629684377838,value_ZNF92,0.016841602713697574,value_TEAD1,-2.2328875079442513e-05,value_SOX2,0.013755081064429343
21,value_ELF1,3.624810754305977,value_TEAD1,-0.0024214539493989484,value_ZFP3,0.014542109414012851,value_LRIF1,0.0,value_GATA3,0.05955935959209696,value_SUZ12,0.016655049190595482,value_CHD4,-0.00023740039344353616,value_SOX3,0.012845601502109158
22,value_GABPA,3.605102843224965,value_ALKBH1,-0.005204785307120479,value_ATRX,0.013112990280566823,value_MAML3,0.0,value_JUN,0.043198044913524844,value_NANOG,0.01333465742176862,value_RNF2,-0.005801262064406854,value_PHOX2B,0.012567659382735992
23,value_MAX,3.567162787650027,value_ZMYND8,-0.00637450038181725,value_MCM3,0.008053320750819947,value_MYB,0.0,value_GATA2,0.042570533526420956,value_MAU2,0.012685369486352053,value_SMARCA2,-0.008103344575876375,value_H3K9me2,0.010125698078316633
24,value_EP300,3.4686650023976697,value_POU5F1,-0.008631923083416808,value_TOP1,0.00651910516183366,value_PARK7,0.0,value_KLF4,0.03813456600113815,value_TWIST1,0.005936559338357928,value_LHX2,-0.008103344575876375,value_ALKBH1,0.0037302443141493703
25,value_ARID1B,3.162936490543206,value_SMARCA2,-0.00863192308341681,value_PPARA,0.004689641559159665,value_RB1,0.0,value_ARID2,0.03627377096502862,value_FOXP2,0.00513420296223699,value_MGMT,-0.008103344575876376,value_ISL1,0.00307384021877066
26,value_CPSF3L,3.129948785359488,value_TOP2A,-0.00863192308341681,value_H3K9me2,0.004614836450979869,value_STAG3,0.0,value_RFX5,0.03598002192706499,value_ZFP3,0.001906746095619531,value_KDM4C,-0.008103344575876376,value_H3,0.00249435628323415
27,value_MYC,3.039678878360368,value_NPAT,-0.00863192308341681,value_ALKBH1,0.004133840813398067,value_ZNF117,0.0,value_RXRA,0.030647079429999453,value_H3K27me1,0.00019730698668429138,value_TP53,-0.008103344575876376,value_PSIP1,0.0015997503272569668
